,target_wind_speed,pred_xgb
117753,5.0,5.509674
117754,0.0,6.5592628
117755,9.0,6.0452995
117756,11.0,10.005438
117757,11.0,9.63895
117758,34.0,9.994914
117759,17.0,26.257748
117760,18.0,16.461847
117761,39.0,18.50269
117762,50.0,31.48858
117763,61.0,37.55748
117764,24.0,40.786358
117765,54.0,30.967588
117766,55.0,45.25403
117767,34.0,45.126797
117768,18.0,39.92921
117769,24.0,30.404278
117770,30.0,32.616188
117771,46.0,32.650463
117772,46.0,42.615486
117773,41.0,45.96467
117774,11.0,43.143265
117775,8.0,25.091425
117776,15.0,16.7125
117777,22.0,15.196411
117778,30.0,18.175945
117779,41.0,26.241968
117780,11.0,33.004868
117781,26.0,19.650213
117782,48.0,25.377731
117783,50.0,40.58288
117784,43.0,43.899925
117785,5.0,41.95096
117786,22.0,21.051424
117787,55.0,20.481829
117788,52.0,32.74725
117789,43.0,44.41037
117790,17.0,40.45208
117791,65.0,25.404743
117792,63.0,51.5431
117793,39.0,53.495876
117794,32.0,45.530422
117795,32.0,38.19167
117796,30.0,35.883003
117797,32.0,33.755375
117798,34.0,32.11908
117799,34.0,33.17945
117800,35.0,30.73137
117801,32.0,31.831884
117802,26.0,29.078613
117803,24.0,25.41739
117804,17.0,25.270695
117805,35.0,21.569744
117806,35.0,32.892094
117807,39.0,33.423706
117808,37.0,32.884132
117809,35.0,35.52968
117810,37.0,34.591316
117811,32.0,36.88869
117812,30.0,31.038631
117813,28.0,28.945955
117814,24.0,27.708176
117815,22.0,23.324097
117816,18.0,21.65642
117817,15.0,18.274826
117818,15.0,13.857574
117819,11.0,12.234644
117820,5.0,10.807985
117821,22.0,7.697011
117822,39.0,20.858742
117823,30.0,33.233402
117824,32.0,31.324406
117825,37.0,27.679272
117826,37.0,34.488518
117827,28.0,37.26063
117828,26.0,29.591099
117829,43.0,25.650646
117830,26.0,35.35965
117831,34.0,27.790823
117832,39.0,31.410538
117833,37.0,36.794186
117834,26.0,36.452335
117835,34.0,27.814495
117836,24.0,30.161482
117837,48.0,26.081285
117838,34.0,37.61778
117839,28.0,35.00059
117840,41.0,30.724995
117841,41.0,40.314316
117842,39.0,40.490593
117843,35.0,39.52734
117844,21.0,39.920353
117845,41.0,28.44191
117846,50.0,36.001385
117847,41.0,43.241207
117848,34.0,37.212513
117849,26.0,32.068546
117850,26.0,25.159266
117851,28.0,24.421167
117852,37.0,25.741188
117853,35.0,31.847973
117854,45.0,33.20538
117855,34.0,32.249702
117856,45.0,31.92301
117857,41.0,35.36151
117858,32.0,36.24005
117859,41.0,31.635706
117860,32.0,32.04675
117861,34.0,30.256323
117862,35.0,28.5859
117863,54.0,32.97141
117864,34.0,42.44186
117865,46.0,36.8147
117866,22.0,42.457603
117867,46.0,32.590813
117868,32.0,39.266735
117869,48.0,36.317142
117870,61.0,44.613766
117871,68.0,44.675484
117872,50.0,50.772705
117873,55.0,51.892246
117874,41.0,46.473175
117875,41.0,39.974113
117876,34.0,35.366016
117877,58.0,32.62905
117878,61.0,42.46264
117879,61.0,48.040558
117880,63.0,47.827892
117881,45.0,51.935932
117882,39.0,40.31526
117883,17.0,36.827293
117884,13.0,23.64999
117885,58.0,21.516111
117886,61.0,36.780315
117887,34.0,46.411804
117888,39.0,38.746334
117889,32.0,39.085342
117890,28.0,36.389412
117891,32.0,29.814674
117892,39.0,32.456463
117893,35.0,40.006344
117894,50.0,38.56365
117895,43.0,42.455784
117896,41.0,39.54445
117897,28.0,37.847454
117898,21.0,30.608719
117899,41.0,25.207586
117900,45.0,37.23387
117901,45.0,38.433887
117902,48.0,34.792156
117903,54.0,37.197845
117904,34.0,39.032753
117905,52.0,33.890472
117906,59.0,40.920082
117907,39.0,42.73719
117908,37.0,38.06241
117909,50.0,40.36676
117910,48.0,42.39082
117911,34.0,41.662277
117912,32.0,38.569935
117913,30.0,37.988213
117914,35.0,37.669228
117915,39.0,41.558746
117916,41.0,40.58659
117917,30.0,40.24395
117918,28.0,35.773365
117919,26.0,33.006405
117920,22.0,28.961037
117921,5.0,24.13609
117922,9.0,14.13164
117923,4.0,14.319891
117924,15.0,11.057598
117925,13.0,12.915557
117926,11.0,12.804995
117927,11.0,11.3240595
117928,11.0,10.618934
117929,13.0,11.225195
117930,11.0,12.402405
117931,13.0,10.918509
117932,15.0,12.4831295
117933,11.0,13.613392
117934,21.0,11.785885
117935,15.0,17.833874
117936,17.0,14.865458
117937,18.0,15.746601
117938,21.0,19.460802
117939,26.0,21.696629
117940,30.0,28.333712
117941,32.0,31.79952
117942,30.0,32.813263
117943,28.0,31.807932
117944,30.0,27.965113
117945,30.0,28.217295
117946,34.0,27.549232
117947,26.0,28.40482
117948,26.0,25.346325
117949,28.0,26.011375
117950,22.0,26.346848
117951,22.0,23.35844
117952,22.0,23.760994
117953,26.0,21.611437
117954,24.0,25.443975
117955,22.0,24.278273
117956,22.0,23.952547
117957,30.0,21.79008
117958,22.0,28.360529
117959,26.0,22.151598
117960,28.0,27.728392
117961,30.0,29.859869
117962,24.0,32.162384
117963,34.0,28.72797
117964,39.0,33.117054
117965,35.0,36.743294
117966,37.0,37.760956
117967,41.0,37.072376
117968,34.0,38.294025
117969,39.0,32.091686
117970,43.0,34.72139
117971,45.0,37.0205
117972,34.0,36.81666
117973,43.0,34.81461
117974,50.0,36.8056
117975,39.0,46.14826
117976,34.0,36.11471
117977,34.0,34.199635
117978,34.0,31.724936
117979,35.0,31.213444
117980,30.0,33.41726
117981,13.0,30.39492
117982,41.0,18.76352
117983,35.0,35.231567
117984,37.0,37.10643
117985,28.0,37.138054
117986,43.0,34.149902
117987,35.0,37.903603
117988,34.0,39.58922
117989,18.0,34.51015
117990,26.0,26.7521
117991,22.0,30.022886
117992,32.0,24.27505
117993,30.0,28.03157
117994,30.0,28.425882
117995,28.0,28.514053
117996,34.0,26.767601
117997,32.0,29.899666
117998,35.0,29.30724
117999,32.0,33.07555
118000,24.0,30.837269
118001,26.0,26.561241
118002,22.0,26.338112
118003,22.0,22.46516
118004,30.0,24.414093
118005,30.0,28.497606
118006,28.0,27.257252
118007,5.0,25.641586
118008,22.0,15.589401
118009,24.0,25.3298
118010,32.0,28.135876
118011,32.0,31.790142
118012,32.0,32.878487
118013,34.0,33.515423
118014,32.0,33.196953
118015,28.0,32.24281
118016,26.0,29.081554
118017,22.0,26.093113
118018,28.0,23.611877
118019,30.0,26.134586
118020,24.0,27.825161
118021,28.0,25.240341
118022,30.0,27.147228
118023,28.0,29.587578
118024,28.0,27.131166
118025,28.0,27.28847
118026,21.0,27.325922
118027,28.0,23.157494
118028,17.0,26.710445
118029,22.0,19.978853
118030,24.0,22.826555
118031,28.0,25.040932
118032,28.0,28.286312
118033,37.0,30.505785
118034,39.0,37.132984
118035,39.0,38.366035
118036,34.0,38.82974
118037,37.0,36.21855
118038,39.0,38.65843
118039,43.0,38.664955
118040,34.0,38.149822
118041,32.0,32.1514
118042,35.0,30.098867
118043,21.0,31.915066
118044,21.0,24.490692
118045,22.0,24.252375
118046,13.0,22.552738
118047,21.0,16.63618
118048,15.0,20.050034
118049,11.0,17.422977
118050,11.0,13.700149
118051,4.0,14.33793
118052,11.0,9.69597
118053,8.0,13.04766
118054,4.0,11.3125925
118055,8.0,9.843716
118056,15.0,12.222237
118057,22.0,17.583952
118058,26.0,23.08744
118059,28.0,30.088465
118060,30.0,31.131502
118061,30.0,32.400673
118062,41.0,33.05165
118063,54.0,38.747967
118064,54.0,47.199646
118065,28.0,46.667694
118066,22.0,34.401077
118067,17.0,27.485249
118068,22.0,22.479242
118069,17.0,21.27158
118070,17.0,18.955448
118071,15.0,18.509996
118072,24.0,17.400246
118073,28.0,20.981714
118074,34.0,26.177689
118075,26.0,30.554174
118076,32.0,27.791744
118077,37.0,30.060804
118078,37.0,35.083626
118079,43.0,36.942493
118080,39.0,38.489494
118081,35.0,39.699543
118082,34.0,38.719326
118083,48.0,34.805687
118084,41.0,44.856125
118085,45.0,39.818066
118086,54.0,41.951057
118087,39.0,47.27864
118088,30.0,41.491314
118089,30.0,31.485308
118090,24.0,28.90404
118091,24.0,25.73682
118092,35.0,24.774826
118093,37.0,31.378914
118094,35.0,35.481297
118095,35.0,33.90273
118096,32.0,33.22429
118097,28.0,30.399113
118098,26.0,25.656473
118099,17.0,26.12547
118100,30.0,20.793713
118101,26.0,28.186045
118102,18.0,25.778305
118103,13.0,21.43349
118104,15.0,17.42993
118105,5.0,16.561106
118106,5.0,9.510634
118107,9.0,8.764853
118108,13.0,10.595349
118109,18.0,12.998096
118110,13.0,18.430155
118111,15.0,14.760686
118112,11.0,13.397583
118113,9.0,11.190143
118114,8.0,10.479653
118115,11.0,9.094936
118116,4.0,10.653735
118117,0.0,8.567356
118118,8.0,8.36917
118119,8.0,9.284886
118120,8.0,9.375823
118121,15.0,9.290645
118122,15.0,12.25409
118123,18.0,12.333554
118124,18.0,14.468485
118125,17.0,15.283842
118126,18.0,14.353519
118127,18.0,15.185677
118128,18.0,15.683892
118129,15.0,15.356066
118130,13.0,12.815269
118131,18.0,11.762732
118132,15.0,14.234125
118133,13.0,12.506802
118134,13.0,11.942236
118135,13.0,12.022563
118136,13.0,11.921406
118137,13.0,11.772129
118138,9.0,11.879701
118139,8.0,9.8048725
118140,8.0,8.393213
118141,9.0,8.418596
118142,9.0,9.542507
118143,13.0,9.491051
118144,8.0,11.457606
118145,5.0,8.429302
118146,11.0,7.647427
118147,8.0,10.160383
118148,5.0,8.5101185
118149,4.0,7.7979307
118150,4.0,7.641779
118151,8.0,7.5811324
118152,9.0,8.334494
118153,26.0,10.159841
118154,30.0,19.157335
118155,30.0,30.686848
118156,45.0,34.832676
118157,46.0,41.563873
118158,39.0,42.531803
118159,28.0,38.56719
118160,39.0,32.497585
118161,21.0,34.575348
118162,37.0,24.26888
118163,17.0,25.421381
118164,22.0,17.16175
118165,18.0,18.372177
118166,15.0,15.517731
118167,8.0,12.441248
118168,4.0,8.422978
118169,11.0,7.544655
118170,13.0,10.326614
118171,26.0,12.011034
118172,28.0,21.693823
118173,32.0,26.170586
118174,24.0,29.777172
118175,13.0,25.0645
118176,15.0,18.566444
118177,22.0,16.219492
118178,26.0,22.612314
118179,30.0,27.912464
118180,21.0,30.82904
118181,21.0,24.03717
118182,17.0,23.656532
118183,15.0,19.890457
118184,13.0,16.957966
118185,11.0,14.395207
118186,24.0,12.35652
118187,11.0,22.643717
118188,21.0,14.27044
118189,13.0,16.169518
118190,8.0,14.138994
118191,11.0,9.5817375
118192,9.0,11.3901415
118193,30.0,11.188927
118194,24.0,25.740658
118195,18.0,23.860437
118196,24.0,21.568974
118197,37.0,24.269331
118198,34.0,34.23292
118199,21.0,32.240917
118200,24.0,26.049215
118201,48.0,29.436026
118202,26.0,44.20697
118203,37.0,33.67827
118204,50.0,38.862564
118205,39.0,47.7945
118206,41.0,38.899517
118207,45.0,39.816467
118208,22.0,41.346436
118209,21.0,28.892761
118210,32.0,24.634022
118211,52.0,29.256876
118212,41.0,40.95005
118213,26.0,37.16695
118214,30.0,29.550522
118215,37.0,29.609364
118216,37.0,35.95606
118217,41.0,35.35407
118218,26.0,35.390797
118219,13.0,28.752544
118220,18.0,20.697868
118221,32.0,23.431276
118222,21.0,27.624731
118223,24.0,19.117567
118224,15.0,26.158546
118225,18.0,19.061394
118226,17.0,20.668015
118227,17.0,19.187037
118228,8.0,18.609468
118229,18.0,12.188339
118230,30.0,18.567467
118231,0.0,29.71215
118232,9.0,12.949984
118233,11.0,15.410815
118234,9.0,13.624669
118235,15.0,11.348217
118236,32.0,14.248389
118237,24.0,27.180984
118238,30.0,21.871454
118239,30.0,28.259966
118240,26.0,28.4709
118241,43.0,25.439823
118242,43.0,34.801517
118243,48.0,36.129772
118244,50.0,42.672035
118245,52.0,45.491848
118246,45.0,46.33896
118247,45.0,42.243443
118248,48.0,42.85849
118249,50.0,47.072174
118250,46.0,48.527287
118251,48.0,44.90353
118252,48.0,47.84964
118253,50.0,48.460354
118254,45.0,49.143204
118255,35.0,44.78578
118256,21.0,38.7971
118257,22.0,21.833408
118258,22.0,21.499283
118259,30.0,19.265356
118260,26.0,27.500706
118261,35.0,24.98582
118262,35.0,30.921284
118263,39.0,33.375603
118264,39.0,36.27787
118265,39.0,35.307796
118266,63.0,34.879787
118267,43.0,47.569736
118268,50.0,36.698597
118269,37.0,44.436745
118270,41.0,30.688324
118271,34.0,37.880856
118272,34.0,32.344116
118273,30.0,32.57343
118274,32.0,32.92449
118275,37.0,36.846893
118276,41.0,37.99735
118277,30.0,38.116272
118278,28.0,33.534306
118279,43.0,29.268393
118280,34.0,38.031147
118281,41.0,30.588947
118282,43.0,35.419422
118283,32.0,37.21701
118284,35.0,31.423178
118285,32.0,33.74185
118286,28.0,30.388958
118287,18.0,26.764875
118288,21.0,21.98441
118289,30.0,22.511965
118290,26.0,27.663465
118291,17.0,24.356112
118292,9.0,21.195484
118293,13.0,15.841154
118294,11.0,14.67215
118295,5.0,12.539629
118296,5.0,9.614931
118297,24.0,9.678321
118298,24.0,28.671621
118299,24.0,28.442822
118300,32.0,29.101618
118301,34.0,33.728897
118302,34.0,34.5879
118303,32.0,32.91381
118304,26.0,32.818188
118305,26.0,25.923248
118306,26.0,26.087633
118307,21.0,25.161001
118308,32.0,24.288252
118309,21.0,28.1001
118310,32.0,22.936642
118311,24.0,30.662159
118312,35.0,26.459475
118313,41.0,34.09266
118314,45.0,36.98119
118315,24.0,39.97784
118316,43.0,34.529503
118317,37.0,38.877075
118318,48.0,37.002777
118319,22.0,43.531357
118320,32.0,33.24405
118321,39.0,33.437294
118322,32.0,38.26751
118323,37.0,34.134315
118324,46.0,38.713245
118325,54.0,41.50466
118326,58.0,44.415833
118327,45.0,45.904716
118328,43.0,43.361877
118329,52.0,39.021214
118330,63.0,43.91177
118331,34.0,49.53643
118332,46.0,35.159344
118333,41.0,40.41812
118334,72.0,33.058796
118335,30.0,55.24988
118336,52.0,35.158974
118337,55.0,46.135014
118338,41.0,43.85106
118339,41.0,37.933983
118340,52.0,42.244755
118341,45.0,45.059055
118342,43.0,38.316685
118343,32.0,40.236633
118344,30.0,37.44757
118345,30.0,33.294243
118346,28.0,30.558058
118347,21.0,26.015102
118348,21.0,22.83775
118349,26.0,22.46505
118350,30.0,24.84605
118351,30.0,28.713966
118352,28.0,30.050182
118353,22.0,25.937086
118354,17.0,21.55153
118355,39.0,21.364677
118356,17.0,47.02549
118357,35.0,20.677633
118358,34.0,37.38581
118359,48.0,29.046297
118360,18.0,41.96298
118361,30.0,25.017616
118362,46.0,33.872356
118363,35.0,43.725704
118364,34.0,34.56455
118365,21.0,30.699936
118366,28.0,24.846815
118367,43.0,20.708439
118368,35.0,42.535057
118369,52.0,36.12005
118370,43.0,44.14618
118371,30.0,43.423203
118372,43.0,35.354828
118373,41.0,39.378773
118374,37.0,38.629032
118375,39.0,37.21583
118376,41.0,36.80688
118377,22.0,35.390182
118378,45.0,24.080698
118379,26.0,39.62249
118380,39.0,26.013105
118381,35.0,40.27919
118382,17.0,34.796837
118383,8.0,22.769428
118384,17.0,19.46649
118385,15.0,21.310778
118386,15.0,17.537643
118387,15.0,17.333673
118388,17.0,17.06956
118389,18.0,17.20592
118390,22.0,18.59509
118391,22.0,19.345587
118392,22.0,22.426472
118393,13.0,22.525154
118394,11.0,16.627945
118395,17.0,17.312767
118396,41.0,20.907661
118397,50.0,40.346863
118398,43.0,43.640354
118399,32.0,38.74343
118400,22.0,30.943598
118401,24.0,23.967577
118402,24.0,20.345985
118403,34.0,20.044918
118404,24.0,28.135784
118405,17.0,25.342575
118406,21.0,21.156979
118407,17.0,21.092989
118408,17.0,19.895756
118409,11.0,17.148848
118410,22.0,13.898227
118411,28.0,19.21496
118412,32.0,22.05017
118413,17.0,21.649723
118414,18.0,22.626602
118415,17.0,20.86067
118416,9.0,20.743902
118417,21.0,12.577739
118418,15.0,24.152576
118419,5.0,19.17755
118420,8.0,10.377609
118421,15.0,11.235447
118422,11.0,14.987375
118423,13.0,14.87773
118424,17.0,14.232156
118425,11.0,16.032503
118426,13.0,11.895026
118427,11.0,12.7453375
118428,8.0,11.28023
118429,8.0,9.190956
118430,4.0,9.312712
118431,4.0,7.884617
118432,8.0,7.8907247
118433,4.0,9.240266
118434,4.0,8.3905325
118435,0.0,8.404498
118436,5.0,8.399564
118437,8.0,9.31334
118438,8.0,9.563769
118439,5.0,9.273833
118440,4.0,8.384467
118441,5.0,8.3085165
118442,5.0,8.621247
118443,5.0,8.235329
118444,0.0,8.218663
118445,5.0,7.299698
118446,9.0,8.122303
118447,11.0,10.300854
118448,11.0,10.686999
118449,15.0,11.0311985
118450,9.0,12.511273
118451,9.0,10.361987
118452,11.0,10.012615
118453,15.0,10.196787
118454,15.0,12.236412
118455,13.0,12.447781
118456,8.0,11.966171
118457,8.0,9.0706005
118458,11.0,8.813381
118459,5.0,10.369519
118460,5.0,7.961849
118461,9.0,8.029091
118462,9.0,10.271909
118463,9.0,10.187731
118464,9.0,10.338469
118465,11.0,10.409278
118466,11.0,10.548145
118467,11.0,10.498763
118468,11.0,10.427301
118469,9.0,10.630328
118470,11.0,10.196151
118471,8.0,10.49617
118472,5.0,8.86819
